机构简称,机构全称,成立时间,外方机构,外方机构基金名称,外方持股比例,中方机构,中方持股比例,,
高盛高华,高盛高华证券有限责任公司,12/13/04,Goldman Sachs,高盛,51%,高华证券,49%,,
摩根士丹利华鑫,摩根士丹利证券（中国）有限公司,5/4/11,Morgan Stanley,摩根士丹利,90%,华鑫证券,10%,,Sources:
瑞银,瑞银证券有限责任公司,12/11/06,UBS AG,瑞银,67%,北京市国有资产经营有限责任公司,33%,,http://www.csrc.gov.cn/pub/newsite/gjb/sczr/wzcgzqgsylb/202011/t20201118_386446.html
瑞信,瑞信证券（中国）有限公司,10/24/08,Credit Suisse AG,瑞信,51%,方正证券,49%,,http://www.csrc.gov.cn/pub/newsite/gjb/sczr/wzcgjjglgsylb/202011/t20201118_386450.html
中德,中德证券有限责任公司,12/29/08,Deutsche Bank AG,中德,33.30%,山西证券股份公司,66.70%,,https://finance.sina.com.cn/stock/zqgd/2021-07-04/doc-ikqcfnca4837613.shtml
申港,申港证券股份有限公司,3/14/16,"Mason Group Holdings Limited,Freeman Securities,
JT Capital Managment Limited",申港,34.85%,"赛领国际投资基金（上海）有限公司,上海长甲投资有限公司,
中诚信投资集团有限公司,北京国泽资本管理有限公司,张家港鸿运投资有限公司,中邦置业集团有限公司,广东潮弘投资有限公司,上海慧玉投资中心（有限合伙）,武汉易鹏达投资有限公司,上海煌富贸易有限公司,北京志诚泰和电子技术有限公司 ",65.15%,,https://finance.sina.com.cn/money/smjj/smdt/2019-04-20/doc-ihvhiqax4101330.shtml
华兴,华兴证券有限公司,8/19/16,China Renaissance,华兴,48.83%,"光线控股公司,江苏云杉资本管理公司,无锡群兴股权投资管理公司,广州立白投资有限公司",51.17%,,https://finance.sina.com.cn/money/smjj/smyj/2021-02-18/doc-ikftssap6231055.shtml
汇丰前海,汇丰前海证券有限责任公司,8/28/17,HSBC,汇丰,51%,前海金融控股有限公司,49%,,
东亚前海,东亚前海证券有限责任公司,8/9/17,BEA,东亚,49%,"前海金融控股有限公司,深圳银之杰科技股份公司,晨光控股（集团）有限公司",51%,,
野村东方,野村东方国际证券有限公司,8/20/19,Nomura,野村,51%,"上海东方国际（集团）有限公司,上海黄浦投资控股（集团）有限公司",49%,,
摩根大通,摩根大通证券（中国）有限公司,8/22/19,J.P.Mogan,摩根大通,51%,"上海外高桥集团股份有限公司,珠海市迈兰德基金管理有限公司,北京朗信投资有限公司,新疆中卫股权投资有限合伙企业,上海宾阖投资管理中心",49%,,
金圆统一,金圆统一证券有限公司,9/25/20,President Securities,统一,49%,金圆集团,51%,,
大和,大和证券（中国）有限责任公司,12/18/20,Daiwa,大和,51%,"北京国有资本经营管理中心, 北京熙诚资本控股有限公司",49%,,
星展,星展证券（中国）有限公司,8/27/20,DBS Bank,星展,51%,"上海东浩兰生投资管理有限公司,上海黄浦投资控股（集团）有限公司,上海汇旸资产经营有限公司,上海黄浦引导资金股权投资有限公司",49%,,
国泰,国泰基金管理有限公司,3/5/98,Assicurazioni Generali ,国泰,30%,"中国建银投资有限责任公司,中国电力财务有限公司",70%,,
鹏华,鹏华基金管理有限公司,12/22/98,Eurizon Capital SGR,鹏华,49%,"国信证券股份有限公司,深圳市北融信投资发展有限公司",51%,,
嘉实,嘉实基金管理有限公司,3/25/99,Deutsche Asset Management,嘉实,30%,"中诚信托有限责任公司,立信投资有限责任公司 ",70%,,
长盛,长盛基金管理有限公司,3/26/99,DBS Bank,长盛,33%,"安徽省信用融资担保集团有限公司,国元证券股份有限公司,安徽省投资集团控股有限公司",67%,,
富国,富国基金管理有限公司,4/13/99,BMO,富国,27.78%,"	申万宏源证券有限公司,海通证券股份有限公司,山东省国际信托股份有限公司",72.22%,,
融通,融通基金管理有限公司,5/22/01,Nikko Asset Management,融通,40%,"河北证券有限责任公司,新时代证券有限责任公司",60%,,
国投瑞银,国投瑞银基金管理有限公司,6/8/05,UBS AG,国投瑞银,49%,国投泰康信托有限公司,51%,,
泰达宏利,泰达宏利基金管理有限公司,6/6/02,Manulife Asset Management,泰达宏利,49%,泰达国际控股（集团）有限公司,51%,,
华宝,华宝基金管理有限公司,2/12/03,Warburg Pincus Asset Management,华宝,49%,华宝信托有限责任公司,51%,,
国联安,国联安基金管理有限公司,4/3/03,Allianz Group,国联安,49%,太平洋资产管理有限责任公司,51%,,
海富通,海富通基金管理有限公司,4/18/03,BNPP IP BE Holding,海富通,49%,海通证券股份有限公司,51%,,
景顺长城,景顺长城基金管理有限公司,6/12/03,Invesco Asset Management,景顺长城,49%,"长城证券股份有限公司,大连实德集团有限公司,开滦(集团)有限责任公司",51%,,
兴证全球,兴证全球基金管理有限公司,9/30/03,AEGON International,兴全,49%,兴业证券股份有限公司,51%,,
申万菱信,申万菱信基金管理有限公司,1/15/04,SWS MU Fund Management,申万菱信,33%,申万宏源证券有限公司,67%,,
中海,中海基金管理有限公司,3/18/04,Lacompagnie Financiere Edmond De Rothschild Banque,中海,25%,"中海信托股份有限公司,国联证券股份有限公司",75%,,
上投摩根,上投摩根基金管理有限公司,5/12/04,"J.P. Morgan Asset Management
(U.K.)",上投摩根,49%,上海国际信托有限公司,51%,,
光大保德信,光大保德信基金管理有限公司,4/22/04,Pramerical Investment Management,光大保德信,45%,光大证券股份有限公司,55%,,
国海富兰克林,国海富兰克林基金管理有限公司,11/15/04,Templeton International,富兰克林国海,49%,国海证券股份有限公司,51%,,
华泰柏瑞,华泰柏瑞基金管理有限公司,11/18/04,PineBridge Investments,华泰柏瑞,49%,"华泰证券股份有限公司,苏州新区高新技术产业股份有限公司",51%,,
工银瑞信,工银瑞信基金管理有限公司,6/21/05,Credit Suisse AG,工银瑞信,20%,中国工商银行股份有限公司,80%,,
交银施罗德,交银施罗德基金管理有限公司,8/4/05,Schroder Investment Management,交银施罗德,30%,"交通银行股份有限公司,中国国际集装箱海运(集团)股份有限公司",70%,,
中信保诚,中信保诚基金管理有限公司,9/30/05,Prudential Group,中信保诚,49%,"中信信托有限责任公司,中新苏州工业园区创业投资有限公司",51%,,
建信,建信基金管理有限责任公司,9/19/05,Principal Financial Services,建信,25%,"中国建设银行股份有限公司,中国华电集团资本控股有限公司",75%,,
汇丰晋信,汇丰晋信基金管理有限公司,11/16/05,HSBC Investments (UK),汇丰晋信,49%,山西信托股份有限公司,51%,,
中邮创业,中邮创业基金管理股份有限公司,5/8/06,Sumitomo Mitsui Banking Corporation,中邮,24%,"首创证券有限责任公司,中国邮政集团公司",76%,,
信达澳银,信达澳银基金管理有限公司,6/5/06,Colonial First State Group,信达澳银,46%,信达证券股份有限公司,54%,,
中欧,中欧基金管理有限公司,7/19/06,Unione di Banche Italiane,中欧,25%,"上海睦亿投资管理合伙企业(有限合伙),国都证券股份有限公司,万盛基业投资有限责任公司",75%,,
浦银安盛,浦银安盛基金管理有限公司,8/5/07,AXA Investment Managers,浦银安盛,39%,"上海浦东发展银行股份有限公司,上海国盛集团资产有限公司",61%,,
农银汇理,农银汇理基金管理有限公司,3/18/08,Credit Agricole Asset Management,农银汇理,33.33%,"中国农业银行股份有限公司,中铝资本控股有限公司持股",66.67%,,
民生加银,民生加银基金管理有限公司,11/3/08,Royal Bank of Canada,民生加银,30%,"中国民生银行股份有限公司,三峡财务有限责任公司",70%,,
方正富邦,方正富邦基金管理有限公司,6/30/11,Fubon Asset Management,方正富邦,33.3%,方正证券股份有限公司,66.7%,,
华宸未来,华宸未来基金管理有限公司,6/20/12,Mirae Asset Global Investments,华宸未来,25%,"咸阳长涛电子科技有限公司,未来资产基金管理公司",75%,,
华润元大,华润元大基金管理有限公司,1/17/13,Yuanta Securities Investment Trust,华润元大,24.5%,"华润金控投资有限公司,华润深国投信托有限公司",75.5%,,
中加,中加基金管理有限公司,3/27/13,Bank of Nova Scotia,中加,28%,"北京银行股份有限公司,北京乾融投资(集团)有限公司,有研科技集团有限公司,中地种业(集团)有限公司,绍兴越华开发经营有限公司",72%,,
国开泰富,国开泰富基金管理有限责任公司,7/16/13,Cathay Securities Investment Trust,国开泰富,33.3%,国开证券股份有限公司,66.7%,,
永赢,永赢基金管理有限公司,11/7/13,Lion Global Investors,永赢,28.51%,宁波银行股份有限公司,71.49%,,
圆信永丰,圆信永丰基金管理有限公司,1/2/14,SinoPac Securities Investment,圆信永丰,49%,厦门国际信托有限公司,51%,,
恒生前海,恒生前海基金管理有限公司,7/1/16,Hang Seng Bank,恒生前海,70%,前海金融控股有限公司,30%,,
富达利泰,富达利泰投资管理（上海）有限公司,9/14/15,Fidelity International,富达,100%,,,,
瑞银资产,瑞银资产管理（上海）有限公司,8/19/15,UBS Asset Management,瑞银,100%,,,,
英仕曼,英仕曼（上海）投资管理有限公司,5/3/17,Man Group,英仕曼,100%,,,,
富敦,富敦投资管理（上海）有限公司,12/3/13,Fullerton Fund Management,富敦,100%,,,,
惠理,惠理投资管理（上海）有限公司,3/23/17,Value Partners,惠理,100%,,,,
景顺纵横,景顺纵横投资管理（上海）有限公司,4/13/17,Invesco,景顺纵横,100%,,,,
路博迈,路博迈投资管理（上海）有限公司,11/28/16,Neuberger Berman,路博迈,100%,,,,
安本,安本私募基金管理（上海）有限公司,9/14/15,Aberdeen Asset Management,安本,100%,,,,
施罗德,施罗德投资管理（上海）有限公司,12/21/15,Schroders,施罗德,100%,,,,
贝莱德,贝莱德投资管理（上海）有限公司,8/27/15,BlackRock,贝莱德,100%,,,,
安中,安中投资管理（上海）有限公司,7/14/11,Azimut Holding,安中,100%,,,,
桥水,桥水（中国）投资管理有限公司,3/7/16,Bridgewater Associates,桥水,100%,,,,
元胜,元胜投资管理（上海）有限公司,3/26/12,Winton Group,元胜,100%,,,,
毕盛,毕盛（上海）投资管理有限公司,11/18/02,APS Asset Management,毕盛,100%,,,,
瀚亚,瀚亚投资管理（上海）有限公司,3/5/18,Eastspring Investments,瀚亚,100%,,,,
未来益财,未来益财股权投资管理（上海）有限公司,3/14/18,Mirae Asset Global Investments,未来益财,100%,,,,
联博汇智,联博汇智（上海）投资管理有限公司,12/14/15,AllianceBernstein,联博汇智,100%,,,,
安联,安联寰通资产管理 (上海) 有限公司,1/26/18,Allianz,安联,100%,,,,
德劭,德劭投资管理（上海）有限公司,2/24/10,D. E. Shaw,德劭,100%,,,,
罗素,罗素投资管理（上海）有限公司,3/31/15,Russell Investments,罗素,100%,,,,
弘收,弘收投资管理（上海）有限公司,10/11/17,Income Partners Asset Management,弘收,100%,,,,
威廉欧奈尔,威廉欧奈尔投资管理（上海）有限公司,6/10/19,William O'Neil,威廉欧奈尔,100%,,,,
鲍尔赛嘉,鲍尔赛嘉（上海）投资管理有限公司,4/15/19,Power Corporation,鲍尔赛嘉,100%,,,,
迈德瑞,迈德瑞投资管理（珠海横琴）有限公司,3/26/19,Metori Capital Management,迈德瑞,100%,,,,
柏基,柏基投资管理（上海）有限公司,5/30/19,Baillie Gifford,柏基,100%,,,,
首奕,上海首奕投资管理有限公司,5/23/19,iFAST Financial,首奕,100%,,,,
韩华,韩华投资管理有限公司,10/21/16,Hanwha Asset Management,韩华,100%,,,,
润晖,润晖投资管理（天津）有限公司,10/8/18,Cephei Capital Management,润晖,100%,,,,
荷宝,荷宝私募基金管理（上海）有限公司,7/12/19,Robeco,荷宝,100%,,,,
澳帝桦,澳帝桦私募基金管理（上海）有限公司,10/28/20,Optiver,澳帝桦,100%,,,,